name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag,mood,activity,weather
212 Sexy,CAROLINA HERRERA,"https://m.media-amazon.com/images/I/510OkaX83+L._AC_UF1000,1000_QL80_.jpg",men,"amber, cardamom, floral petal, musk, sandalwood, sensual oriental character  gaiac wood, subtle and spicy sensuality  green pepper, tonka beans, vanilla",cozy,fall,night,CAROLINA HERRERA,warm,date,cold
Rush 2,GUCCI,https://i5.walmartimages.com/asr/12cb96e7-8c14-4c43-a0ba-3f1ac3b2a441.985f10ed9fdc5c4d02b085ae0d8c8c68.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,women,"black currant, gardenia, lily, musk, narcissus, oakmoss, plam tree",romantic,fall,night,GUCCI,romantic,date,rainy
London,BURBERRY,"https://m.media-amazon.com/images/I/81r9NOibmLL._AC_UF1000,1000_QL80_.jpg",women,"jasmine and peony and clementine zest, musk and patchouli, sandalwood, tiare flower",romantic,fall,night,BURBERRY,romantic,date,any
Scandal,Jean Paul GAULTIER,"https://m.media-amazon.com/images/I/51rAIP1wi9L._AC_UF1000,1000_QL80_.jpg",women,"and labdanum, and orange blossom, jasmine, musk, tiare flower, vanilla",romantic,fall,night,Jean Paul GAULTIER,romantic,date,cold
Eros,VERSACE,"https://m.media-amazon.com/images/I/71I33Ob9-LL._AC_UF1000,1000_QL80_.jpg",men,"ambroxan, cedar, geranium, madagascar vanilla, oakmoss, tonka bean, vetiver",energetic,spring,night,VERSACE,fresh,work,cold
Manifesto,Yves Saint Laurent,https://i.ebayimg.com/images/g/-kkAAOSwnyNlBGwk/s-l400.jpg,women,"cedar, jasmine, lilyofthevalley, sandalwood, tonka bean, vanilla",romantic,fall,night,Yves Saint Laurent,romantic,work,cold
Bloom,GUCCI,https://m.media-amazon.com/images/I/7134Ds7j4dL.jpg,women,"rangoon creeper, tuberose",romantic,fall,night,GUCCI,romantic,casual,any
Crystal Noir,VERSACE,"https://m.media-amazon.com/images/I/61LI2-0ErxL._AC_UF1000,1000_QL80_.jpg",women,"cashmeran, frangipani and jasmine dry, sandalwood, tuberose, vanilla pod and heliotropine",romantic,fall,night,VERSACE,romantic,casual,cold
Bloom Nettare Di Fiori,GUCCI,"https://m.media-amazon.com/images/I/51V+rXx+5kL._AC_UF1000,1000_QL80_.jpg",women,"honeysuckle, jasmine, musk, patchoulie, schijnhulst, tuberose",romantic,fall,night,GUCCI,romantic,date,any
L'interdit,Givenchy,https://www.givenchybeauty.com/on/demandware.static/-/Sites-givenchy-beauty-master/default/dwc6f0c2f1/Engraving_Fragrance/INTERDIT/DESKTOP/P069321/INTERDIT_EDP_100ML_SKU_DESKTOP_FINAL.png,women,"jasmine and orange blossom, patchouli and vetiver, tuberose",romantic,fall,night,Givenchy,romantic,work,any
Eau De lacoste,LACOSTE,https://dimg.dillards.com/is/image/DillardsZoom/zoom/lacoste-eau-de-lacoste-l.12.12-blanc-edition-eau-de-toilette/03651809_zi.jpg,men,"cedar, georgywood, olibanum, suede, tuberose, vetiver, ylangylang",energetic,spring,day,LACOSTE,fresh,work,any
Hawaiian Musk,Niya,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=451112609046825,men,"birch, moroccan jasmine, musk, oakmoss, patchouli, rose, vanilla",sensual,spring,night,Niya,romantic,date,cold
Premium,Genie Collection,https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=2866329117093035505,unisex,"amber, patchouli and musk, tuberose, ylangylang and jasmine",sensual,spring,night,Genie Collection,romantic,date,cold
Homme,GUESS,https://m.media-amazon.com/images/I/71XFFgU9E1L.jpg,men,"amber and musk, patchouli, sandalwood, vanilla orchid, violet leaves and vetiver",energetic,spring,night,GUESS,fresh,date,cold
Prive Maison Sandalwood,Niya,https://images.stylishop.com/media/catalog/product/2900171346/images/2900171346_3.jpg?v=1,men,"muguet, musk, sandalwood, tuberose, vanilla, violet",sensual,spring,night,Niya,romantic,date,cold
Ana Abiyedh Leather,Lattafa,https://m.media-amazon.com/images/I/71bipREZO3L.jpg,men,"cardamom, guaiac wood, saffron, tonka bean, vanilla",sensual,winter,night,Lattafa,romantic,casual,cold
Just Cavalli,Roberto Cavalli,"https://m.media-amazon.com/images/I/61jOM0ygKhL._AC_UF1000,1000_QL80_.jpg",men,"leather, vetiver",energetic,spring,night,Roberto Cavalli,fresh,date,any
Pour Homme,Givenchy,https://m.media-amazon.com/images/I/51QqMGIy9OL.jpg,men,"cedar, labdanum, lavender extract, vetiver",energetic,spring,night,Givenchy,fresh,work,any
Emblem,MONTBLANC,https://m.media-amazon.com/images/I/51RiD+FLNVL.jpg,men,"and woody notes, tonka bean, violet leaf and cinnamon",energetic,fall,night,MONTBLANC,fresh,casual,cold
